sku,name,warehouse,stock,reorder,cost
TSHIRT-80582,Running Sneakers - US 11,Regional Depot North,9066,760,$143.45
SHOE-23062,Sweater - US 9,Regional Depot North,6206,174,$22.65
JCKT-12367,Socks - US 10,South Fulfillment Center,8632,915,$137.82
SHOE-99280,Socks - 34x32,Delhi Distribution,33,466,$17.34
PANTS-20129,Athletic Shorts - US 10,Delhi Distribution,3628,193,$85.22
TSHIRT-83668,Slim Fit Jeans - US 9,Delhi Distribution,7893,266,$99.61
SHOE-31542,Running Sneakers - Medium (M),Regional Depot North,2411,952,$63.86
SKU-AP-96361,Socks - Large (L),Regional Depot North,2124,651,$92.10
PANTS-84710,Running Sneakers - Small (S),Delhi Distribution,3593,492,$102.03
PANTS-71891,Socks - Small (S),Surat Central Warehouse,2542,805,$123.22
SKU-AP-63717,Sweater - Extra Large (XL),Delhi Distribution,3990,717,$137.10
JCKT-32371,Socks - US 11,Regional Depot North,8049,863,$60.99
SHOE-9054,Cotton T-Shirt - US 10,Delhi Distribution,7831,152,$27.37
JCKT-66807,Puffer Jacket - One Size,Delhi Distribution,5768,382,$17.11
SHOE-32490,Cotton T-Shirt - One Size,South Fulfillment Center,3006,897,$64.91
TSHIRT-94557,Beanie Hat - US 9,Regional Depot North,2538,919,$112.74
PANTS-50585,Running Sneakers - US 10,Regional Depot North,6502,273,$111.33
PANTS-53247,Puffer Jacket - US 9,Delhi Distribution,8189,302,$121.10
SHOE-35445,Sweater - Small (S),Surat Central Warehouse,5778,174,$4.32
TSHIRT-17552,Beanie Hat - 32x32,Regional Depot North,8281,873,$104.77
PANTS-98601,Hoodie - Medium (M),Regional Depot North,9587,184,$16.95
SKU-AP-34487,Polo Shirt - One Size,Regional Depot North,1767,534,$61.31
PANTS-37351,Cotton T-Shirt - One Size,Delhi Distribution,1615,275,$9.11
PANTS-30505,Polo Shirt - Extra Large (XL),Delhi Distribution,7249,939,$52.19
PANTS-69477,Slim Fit Jeans - Small (S),Surat Central Warehouse,7215,395,$133.17
SHOE-30827,Beanie Hat - 32x32,South Fulfillment Center,232,1000,$70.06
TSHIRT-65286,Running Sneakers - US 10,Surat Central Warehouse,6795,823,$74.73
SHOE-94133,Sweater - US 11,Delhi Distribution,3103,846,$72.29
JCKT-14391,Running Sneakers - One Size,Regional Depot North,4237,814,$64.96
PANTS-75771,Beanie Hat - Extra Large (XL),Delhi Distribution,4332,565,$12.64
SHOE-72390,Running Sneakers - Large (L),Regional Depot North,2522,931,$85.58
SHOE-75496,Athletic Shorts - US 9,South Fulfillment Center,1406,872,$31.38
SHOE-23756,Athletic Shorts - 32x32,Mumbai Hub,1589,588,$42.25
TSHIRT-63894,Cotton T-Shirt - 32x32,Mumbai Hub,9659,765,$133.68
TSHIRT-72365,Beanie Hat - Small (S),Delhi Distribution,5509,246,$136.15
SKU-AP-55734,Puffer Jacket - 32x32,Regional Depot North,6477,643,$145.81
SKU-AP-66044,Athletic Shorts - Small (S),Surat Central Warehouse,7863,278,$128.63
SKU-AP-49141,Polo Shirt - Extra Large (XL),Surat Central Warehouse,5420,496,$91.98
SKU-AP-31049,Sweater - Extra Large (XL),Regional Depot North,1345,920,$47.11
JCKT-54710,Socks - Extra Large (XL),Regional Depot North,5802,536,$147.60
SHOE-62466,Beanie Hat - US 9,Regional Depot North,6,841,$136.34
SHOE-8350,Beanie Hat - 32x32,Surat Central Warehouse,1724,988,$44.37
JCKT-28170,Beanie Hat - US 11,Mumbai Hub,8090,223,$34.51
JCKT-65903,Hoodie - US 11,Delhi Distribution,9770,815,$131.30
PANTS-44313,Athletic Shorts - 32x32,Mumbai Hub,2295,276,$36.40
SHOE-71634,Slim Fit Jeans - US 9,Mumbai Hub,5768,912,$5.64
SHOE-24687,Socks - Small (S),Regional Depot North,4986,792,$2.71
SHOE-11494,Socks - Medium (M),Regional Depot North,6389,750,$106.34
SKU-AP-75562,Running Sneakers - Small (S),South Fulfillment Center,8508,297,$83.72
JCKT-42164,Puffer Jacket - Small (S),Mumbai Hub,155,601,$109.30
PANTS-43898,Sweater - US 11,Regional Depot North,8871,712,$102.06
TSHIRT-78945,Hoodie - Extra Large (XL),South Fulfillment Center,536,782,$49.13
SKU-AP-52347,Sweater - Large (L),Delhi Distribution,7801,809,$81.90
SHOE-94931,Polo Shirt - Medium (M),South Fulfillment Center,5787,578,$45.82
TSHIRT-14653,Running Sneakers - US 10,Surat Central Warehouse,5401,112,$108.22
JCKT-23502,Polo Shirt - Large (L),Delhi Distribution,8747,281,$53.67
JCKT-27671,Athletic Shorts - One Size,South Fulfillment Center,2550,901,$103.06
SHOE-50808,Hoodie - Medium (M),Surat Central Warehouse,7666,306,$54.68
PANTS-97920,Beanie Hat - 32x32,Mumbai Hub,3686,191,$74.70
JCKT-16495,Puffer Jacket - One Size,Delhi Distribution,939,805,$82.44
SKU-AP-67506,Puffer Jacket - One Size,Delhi Distribution,6789,536,$137.43
TSHIRT-9149,Slim Fit Jeans - Extra Large (XL),Surat Central Warehouse,6869,552,$55.98
SHOE-86138,Beanie Hat - US 9,Delhi Distribution,6376,234,$122.10
PANTS-41238,Running Sneakers - Medium (M),Delhi Distribution,6478,414,$117.52
SHOE-66962,Sweater - Small (S),Surat Central Warehouse,4189,443,$54.92
SKU-AP-14731,Sweater - US 11,Surat Central Warehouse,5836,503,$119.13
TSHIRT-82615,Socks - US 9,South Fulfillment Center,6291,345,$92.55
JCKT-93535,Slim Fit Jeans - One Size,Regional Depot North,8472,820,$143.90
SKU-AP-13265,Puffer Jacket - Medium (M),Delhi Distribution,6749,55,$116.68
JCKT-25841,Slim Fit Jeans - Medium (M),Surat Central Warehouse,7777,326,$58.09
JCKT-41423,Running Sneakers - Large (L),South Fulfillment Center,9293,470,$67.96
SHOE-84472,Sweater - US 10,Regional Depot North,6886,145,$76.79
SHOE-65956,Puffer Jacket - Extra Large (XL),Surat Central Warehouse,1606,611,$30.78
PANTS-97529,Polo Shirt - US 9,Delhi Distribution,8401,603,$85.76
SKU-AP-13609,Beanie Hat - 32x32,Delhi Distribution,305,600,$63.77
PANTS-75250,Running Sneakers - 32x32,South Fulfillment Center,6708,641,$130.24
PANTS-19344,Puffer Jacket - Small (S),Delhi Distribution,2484,451,$99.02
SKU-AP-96858,Beanie Hat - Small (S),Surat Central Warehouse,2393,202,$62.07
SKU-AP-47306,Polo Shirt - US 9,Delhi Distribution,3780,136,$88.80
PANTS-82214,Beanie Hat - US 9,Regional Depot North,7847,340,$94.14
SHOE-11607,Polo Shirt - Small (S),Surat Central Warehouse,505,983,$142.08
PANTS-69819,Running Sneakers - Small (S),Delhi Distribution,9668,855,$126.13
SHOE-53951,Sweater - Large (L),Mumbai Hub,4168,223,$69.69
SKU-AP-58376,Hoodie - One Size,Regional Depot North,5679,383,$69.99
JCKT-32016,Slim Fit Jeans - Small (S),South Fulfillment Center,3892,747,$126.61
PANTS-52861,Cotton T-Shirt - 34x32,South Fulfillment Center,6307,312,$114.88
SKU-AP-41326,Hoodie - Small (S),Surat Central Warehouse,6309,258,$90.07
SKU-AP-53779,Running Sneakers - US 11,Mumbai Hub,536,957,$145.99
TSHIRT-55099,Socks - US 11,South Fulfillment Center,315,832,$42.18
TSHIRT-85123,Athletic Shorts - One Size,Regional Depot North,9712,256,$26.27
SKU-AP-92236,Cotton T-Shirt - Medium (M),South Fulfillment Center,1130,874,$80.11
TSHIRT-24223,Hoodie - One Size,Regional Depot North,9356,807,$70.87
SHOE-91940,Athletic Shorts - Medium (M),Delhi Distribution,9313,654,$42.30
SHOE-83271,Hoodie - Large (L),Mumbai Hub,7804,868,$4.65
SHOE-43782,Puffer Jacket - US 10,Mumbai Hub,8346,777,$16.02
JCKT-64460,Socks - US 9,Regional Depot North,9043,569,$66.78
SKU-AP-20669,Beanie Hat - Extra Large (XL),Delhi Distribution,5251,617,$110.35
TSHIRT-52476,Beanie Hat - 32x32,Regional Depot North,3829,459,$30.24
SHOE-67771,Slim Fit Jeans - One Size,Regional Depot North,777,772,$118.45
JCKT-46143,Hoodie - US 10,South Fulfillment Center,2698,662,$125.86
TSHIRT-1840,Running Sneakers - Small (S),Delhi Distribution,7068,117,$52.11
SKU-AP-91720,Polo Shirt - Medium (M),Mumbai Hub,9900,113,$117.45
TSHIRT-17180,Polo Shirt - Large (L),South Fulfillment Center,178,128,$143.70
SKU-AP-69306,Hoodie - One Size,Mumbai Hub,3805,464,$14.97
SHOE-33534,Cotton T-Shirt - 32x32,Regional Depot North,4513,308,$16.06
PANTS-57374,Hoodie - US 10,Surat Central Warehouse,2323,538,$86.86
SKU-AP-65621,Sweater - Medium (M),Regional Depot North,1499,975,$100.36
PANTS-54670,Slim Fit Jeans - One Size,Delhi Distribution,5993,739,$83.84
SHOE-37147,Cotton T-Shirt - US 9,Surat Central Warehouse,6699,200,$126.39
TSHIRT-13097,Polo Shirt - US 9,Regional Depot North,9875,497,$14.32
SHOE-31526,Puffer Jacket - US 11,Delhi Distribution,9489,619,$71.09
SKU-AP-87731,Sweater - One Size,Regional Depot North,7633,568,$22.22
JCKT-19487,Running Sneakers - Large (L),Delhi Distribution,4572,585,$79.19
PANTS-20814,Beanie Hat - 32x32,Regional Depot North,7627,744,$70.66
SKU-AP-94445,Puffer Jacket - US 11,Delhi Distribution,8102,788,$61.07
SKU-AP-20554,Socks - US 11,Mumbai Hub,998,138,$64.88
SHOE-4841,Beanie Hat - 34x32,Delhi Distribution,3821,231,$80.99
SKU-AP-20477,Sweater - US 10,South Fulfillment Center,8076,729,$96.98
JCKT-12642,Cotton T-Shirt - US 10,Regional Depot North,5694,374,$53.69
TSHIRT-46107,Athletic Shorts - 34x32,Regional Depot North,6742,387,$135.13
JCKT-91225,Athletic Shorts - Large (L),Surat Central Warehouse,5976,595,$67.78
PANTS-34721,Polo Shirt - Large (L),Delhi Distribution,6113,754,$74.25
SHOE-89272,Cotton T-Shirt - One Size,Regional Depot North,3577,901,$109.88
TSHIRT-82398,Puffer Jacket - 32x32,Delhi Distribution,2204,458,$37.27
PANTS-69694,Socks - Small (S),South Fulfillment Center,2128,714,$85.66
JCKT-81650,Cotton T-Shirt - 34x32,Regional Depot North,2694,753,$43.26
PANTS-35993,Puffer Jacket - Extra Large (XL),South Fulfillment Center,3706,560,$91.41
TSHIRT-75610,Socks - Medium (M),Surat Central Warehouse,3517,406,$51.56
SHOE-12445,Running Sneakers - Medium (M),Surat Central Warehouse,906,544,$80.26
PANTS-25861,Slim Fit Jeans - US 10,Regional Depot North,1445,469,$89.09
JCKT-38984,Socks - 32x32,Surat Central Warehouse,5909,356,$131.51
TSHIRT-49501,Athletic Shorts - Small (S),Delhi Distribution,7732,968,$98.96
TSHIRT-4572,Polo Shirt - Extra Large (XL),South Fulfillment Center,4715,151,$64.32
